shipment_id,carrier,route_miles,weather_delay,hub,delayed
1,B,26,1,B,0
2,C,18,0,C,0
3,A,1,1,C,0
4,D,12,0,B,0
5,B,27,0,D,0
6,A,48,0,B,1
7,B,18,0,A,0
8,B,3,1,B,0
9,B,27,1,B,0
10,B,25,0,B,0
11,B,54,0,B,1
12,B,38,0,A,1
13,A,35,0,C,1
14,A,19,1,C,0
15,C,45,0,A,1
16,D,44,1,A,1
17,B,58,1,A,1
18,D,52,0,B,1
19,B,47,1,C,1
20,B,27,1,A,0
21,B,10,1,D,0
22,B,32,1,B,1
23,A,29,1,C,0
24,B,20,0,B,0
25,B,35,0,D,1
26,B,24,0,A,0
27,D,45,0,B,1
28,D,29,0,D,0
29,D,34,0,C,1
30,B,14,0,A,0
31,D,52,0,B,1
32,D,41,1,D,1
33,C,24,1,A,0
34,C,26,1,C,0
35,C,7,0,D,0
36,B,3,0,A,0
37,B,41,0,C,1
38,C,21,0,B,0
39,A,1,0,C,0
40,C,50,1,D,1
41,D,40,0,C,1
42,B,18,1,D,0
43,A,7,0,C,0
44,A,8,0,A,0
45,C,23,1,A,0
46,A,28,0,C,0
47,C,30,0,A,0
48,D,53,1,A,1
49,A,24,0,C,0
50,D,5,1,A,0
51,B,7,0,D,0
52,D,43,0,D,1
53,A,45,0,A,1
54,B,1,0,A,0
55,D,49,0,B,1
56,B,53,0,C,1
57,D,11,1,B,0
58,C,38,0,D,1
59,A,8,0,B,0
60,C,42,1,A,1
61,A,53,1,A,1
62,B,13,0,C,0
63,A,12,0,A,0
64,B,14,0,D,0
65,B,47,1,D,1
66,C,1,0,A,0
67,A,39,0,D,1
68,C,48,0,D,1
69,A,8,0,B,0
70,B,28,1,D,0
71,C,48,0,A,1
72,B,46,0,C,1
73,C,18,0,B,0
74,B,43,1,C,1
75,C,15,0,C,0
76,B,40,1,A,1
77,A,48,1,C,1
78,D,33,1,D,1
79,C,25,0,D,0
80,A,29,0,C,0
81,A,17,1,D,0
82,D,5,1,D,0
83,C,24,1,B,0
84,C,45,1,D,1
85,C,27,1,C,0
86,B,42,0,D,1
87,C,4,0,C,0
88,D,24,0,D,0
89,D,39,1,D,1
90,A,57,1,A,1
91,C,31,1,D,0
92,B,35,1,C,1
93,B,19,1,C,0
94,A,58,1,B,1
95,C,58,0,D,1
96,C,26,0,C,0
97,A,58,1,D,1
98,D,46,1,D,1
99,A,10,0,A,0
100,C,8,1,D,0
101,D,27,1,C,0
102,A,47,0,D,1
103,C,19,1,B,0
104,A,38,0,B,1
105,A,28,0,A,0
106,B,34,0,D,1
107,D,24,1,B,0
108,C,20,0,C,0
109,A,6,0,B,0
110,D,39,0,A,1
111,C,7,1,C,0
112,A,8,0,A,0
113,D,31,1,C,0
114,C,53,1,A,1
115,D,14,0,C,0
116,C,37,0,C,1
117,C,2,1,D,0
118,D,52,1,A,1
119,D,34,0,C,1
120,C,37,1,D,1
121,D,42,1,C,1
122,B,56,1,C,1
123,B,12,0,D,0
124,D,16,0,A,0
125,B,13,1,A,0
126,C,57,1,D,1
127,A,41,0,A,1
128,B,37,0,D,1
129,C,6,1,A,0
130,D,49,0,B,1
131,C,43,1,A,1
132,B,57,1,C,1
133,B,40,0,D,1
134,B,52,0,C,1
135,B,4,1,C,0
136,D,27,0,B,0
137,D,2,0,C,0
138,C,23,0,D,0
139,D,16,1,C,0
140,C,6,0,B,0
141,A,28,0,A,0
142,C,19,0,B,0
143,D,37,1,C,1
144,B,13,0,A,0
145,C,25,0,B,0
146,A,5,1,B,0
147,D,45,0,D,1
148,A,37,0,A,1
149,C,50,0,C,1
150,D,57,0,C,1
151,D,10,1,C,0
152,A,53,0,A,1
153,D,24,0,A,0
154,D,17,0,B,0
155,A,5,1,C,0
156,A,40,1,D,1
157,D,31,0,C,0
158,B,46,1,C,1
159,A,47,1,B,1
160,C,46,0,B,1
161,C,53,0,B,1
162,B,2,1,C,0
163,A,3,1,B,0
164,A,44,1,B,1
165,B,50,1,B,1
166,A,42,1,B,1
167,B,55,0,C,1
168,A,1,0,B,0
169,C,25,1,A,0
170,A,44,0,B,1
171,B,48,0,A,1
172,D,12,0,D,0
173,B,31,0,D,0
174,C,11,1,A,0
175,D,8,0,A,0
