customer_id,age,gender,region,signup_date,last_purchase_amount,num_orders,churn,segment
C0001,56,Female,South,2021-05-04,178.45,4,0,Senior
C0002,69,Male,South,2022-04-18,62.44,6,0,Senior
C0003,46,Male,North,2021-10-11,148.42,7,0,Middle-aged
C0004,32,Male,East,2021-06-17,172.86,3,0,Middle-aged
C0005,60,Male,South,2021-07-14,27.76,3,0,Senior
C0006,25,Male,South,2021-09-21,442.9,5,0,Young
C0007,38,Male,South,2021-07-09,323.08,1,0,Middle-aged
C0008,56,Female,North,2021-11-27,164.48,6,0,Senior
C0009,36,Female,West,2021-01-24,235.03,4,0,Middle-aged
C0010,40,Male,South,2021-07-24,198.61,3,0,Middle-aged
C0011,28,Female,West,2021-10-28,155.38,5,0,Young
C0012,28,Female,East,2022-03-17,130.62,7,0,Young
C0013,41,Female,South,2021-07-17,117.8,7,0,Middle-aged
C0014,53,Female,South,2021-04-08,70.45,5,0,Senior
C0015,57,Male,East,2021-02-25,291.43,9,0,Senior
C0016,41,Female,South,2022-11-18,344.89,7,0,Middle-aged
C0017,20,Female,West,2021-11-01,212.41,2,1,Young
C0018,39,Male,North,2022-03-01,207.42,10,0,Middle-aged
C0019,19,Male,West,2022-11-02,116.14,4,0,Young
C0020,41,Female,North,2021-03-02,148.98,7,0,Middle-aged
C0021,61,Female,North,2022-10-02,333.8,5,0,Senior
C0022,47,Female,West,2022-02-07,56.99,7,0,Middle-aged
C0023,55,Female,West,2021-05-01,217.35,8,0,Senior
C0024,19,Female,West,2021-10-28,199.22,5,0,Young
C0025,38,Female,West,2022-07-22,190.53,4,0,Middle-aged
C0026,50,Male,East,2021-12-17,132.01,6,0,Senior
C0027,29,Female,South,2022-12-21,198.22,10,0,Young
C0028,39,Female,North,2021-10-03,123.58,4,0,Middle-aged
C0029,61,Male,West,2022-07-02,173.45,4,0,Senior
C0030,42,Male,West,2021-10-14,264.48,3,0,Middle-aged
C0031,66,Male,West,2022-08-29,28.86,5,0,Senior
C0032,44,Male,East,2022-02-20,126.05,2,1,Middle-aged
C0033,59,Female,West,2021-02-16,386.16,8,0,Senior
C0034,45,Female,West,2021-01-27,406.03,6,0,Middle-aged
C0035,33,Female,West,2021-04-08,126.14,6,0,Middle-aged
C0036,32,Female,South,2021-01-10,123.56,4,0,Middle-aged
C0037,64,Female,East,2021-02-25,261.63,6,0,Senior
C0038,68,Female,West,2022-05-20,230.63,3,0,Senior
C0039,61,Male,North,2022-01-26,22.61,4,0,Senior
C0040,69,Female,North,2022-07-02,355.09,4,0,Senior
C0041,20,Male,North,2022-10-29,221.34,5,0,Young
C0042,54,Male,East,2022-03-04,116.99,2,0,Senior
C0043,68,Female,East,2022-06-15,198.05,3,0,Senior
C0044,24,Male,North,2022-07-07,201.83,7,0,Young
C0045,38,Female,West,2021-10-03,59.01,8,0,Middle-aged
C0046,26,Male,East,2021-06-25,329.39,5,0,Young
C0047,56,Female,North,2021-05-30,140.57,1,1,Senior
C0048,35,Male,North,2021-07-03,207.1,7,0,Middle-aged
C0049,21,Female,West,2021-07-20,142.46,7,0,Young
C0050,42,Female,South,2021-06-01,208.2,3,0,Middle-aged
C0051,31,Female,East,2022-10-04,484.39,7,0,Middle-aged
C0052,67,Female,West,2022-07-07,235.69,2,1,Senior
C0053,26,Female,North,2021-02-04,230.93,4,0,Young
C0054,43,Male,North,2021-07-16,306.1,5,0,Middle-aged
C0055,19,Male,West,2021-01-17,251.54,6,0,Young
C0056,37,Male,East,2021-12-30,77.0,3,0,Middle-aged
C0057,45,Female,South,2021-12-14,75.5,8,0,Middle-aged
C0058,64,Male,South,2022-08-30,77.57,4,0,Senior
C0059,24,Female,North,2021-08-13,124.1,7,0,Young
C0060,61,Female,East,2022-08-19,111.0,2,1,Senior
C0061,25,Male,South,2022-12-08,347.55,5,0,Young
C0062,64,Male,East,2021-03-06,73.09,7,0,Senior
C0063,52,Female,East,2022-08-02,205.96,5,0,Senior
C0064,31,Male,North,2022-03-07,144.03,3,0,Middle-aged
C0065,34,Female,South,2021-12-17,224.95,7,0,Middle-aged
C0066,53,Female,West,2021-11-03,373.78,4,0,Senior
C0067,67,Female,North,2022-07-27,186.98,4,0,Senior
C0068,57,Female,South,2022-04-12,211.84,3,0,Senior
C0069,21,Female,South,2022-08-11,136.17,8,0,Young
C0070,19,Male,South,2022-10-22,240.79,5,0,Young
C0071,23,Male,South,2022-03-27,129.89,3,0,Young
C0072,59,Female,South,2022-12-17,248.26,5,0,Senior
C0073,21,Female,East,2022-03-20,78.93,3,0,Young
C0074,46,Male,North,2022-04-10,260.64,4,0,Middle-aged
C0075,35,Male,East,2022-02-10,164.63,2,1,Middle-aged
C0076,43,Female,West,2021-03-08,99.85,4,0,Middle-aged
C0077,61,Male,South,2022-06-15,54.55,3,0,Senior
C0078,51,Female,North,2022-02-04,165.92,7,0,Senior
C0079,27,Male,South,2021-11-26,103.81,4,0,Young
C0080,53,Female,North,2022-10-27,344.09,5,0,Senior
C0081,31,Male,East,2021-08-06,106.79,4,0,Middle-aged
C0082,48,Female,North,2022-01-18,242.89,5,0,Middle-aged
C0083,65,Male,West,2022-05-25,397.72,4,0,Senior
C0084,32,Male,West,2022-08-05,348.68,6,0,Middle-aged
C0085,25,Female,North,2021-12-02,236.14,9,0,Young
C0086,31,Male,North,2022-09-07,116.26,3,0,Middle-aged
C0087,40,Female,North,2022-07-16,93.74,8,0,Middle-aged
C0088,57,Male,North,2021-02-18,121.41,5,0,Senior
C0089,38,Female,West,2021-02-03,191.45,1,1,Middle-aged
C0090,33,Male,South,2022-03-30,154.93,3,0,Middle-aged
C0091,62,Female,North,2021-09-11,134.5,5,0,Senior
C0092,35,Male,North,2021-06-02,194.64,4,0,Middle-aged
C0093,64,Female,West,2022-02-28,244.14,6,0,Senior
C0094,41,Male,West,2021-09-07,261.46,5,0,Middle-aged
C0095,43,Female,East,2022-01-28,237.82,5,0,Middle-aged
C0096,42,Female,North,2021-12-02,317.57,4,0,Middle-aged
C0097,62,Female,East,2022-03-03,205.25,9,0,Senior
C0098,58,Male,West,2021-10-20,605.04,6,0,Senior
C0099,46,Female,West,2022-05-25,237.06,7,0,Middle-aged
C0100,32,Male,South,2021-05-12,264.41,3,0,Middle-aged
C0101,62,Female,North,2022-05-24,349.75,2,0,Senior
C0102,18,Male,East,2021-10-28,313.17,3,0,Young
C0103,42,Female,West,2022-10-01,187.17,2,1,Middle-aged
C0104,24,Male,West,2022-01-12,250.28,7,0,Young
C0105,26,Male,East,2022-12-12,177.6,2,1,Young
C0106,41,Female,South,2022-03-16,103.83,5,0,Middle-aged
C0107,18,Male,West,2021-06-13,233.34,5,0,Young
C0108,61,Male,North,2022-08-23,256.08,7,0,Senior
C0109,25,Female,West,2021-09-09,271.36,5,0,Young
C0110,41,Male,North,2021-09-11,35.57,6,0,Middle-aged
C0111,28,Male,East,2021-01-24,375.19,7,0,Young
C0112,68,Male,North,2022-02-05,183.63,3,0,Senior
C0113,34,Female,East,2022-01-26,287.29,6,0,Middle-aged
C0114,25,Male,North,2021-09-17,299.47,8,0,Young
C0115,52,Female,East,2022-10-15,108.21,3,0,Senior
C0116,52,Male,North,2021-04-04,81.13,6,0,Senior
C0117,50,Male,South,2021-08-29,273.38,5,0,Senior
C0118,22,Male,North,2021-08-23,234.53,3,0,Young
C0119,59,Female,North,2021-03-09,32.9,4,0,Senior
C0120,56,Male,South,2021-12-18,349.88,6,0,Senior
C0121,58,Male,West,2022-05-18,152.48,6,0,Senior
C0122,45,Female,West,2022-01-09,315.57,7,0,Middle-aged
C0123,24,Male,North,2021-04-25,111.75,6,0,Young
C0124,26,Female,South,2021-10-03,366.97,5,0,Young
C0125,25,Female,North,2021-01-02,181.62,2,1,Young
C0126,29,Male,East,2022-09-26,420.8,5,0,Young
C0127,51,Female,East,2021-03-03,186.26,9,0,Senior
C0128,50,Male,North,2022-03-13,187.06,3,0,Senior
C0129,65,Female,West,2022-12-21,276.43,9,0,Senior
C0130,40,Female,West,2022-01-27,438.4,2,1,Middle-aged
C0131,41,Male,North,2022-11-06,212.63,1,1,Middle-aged
C0132,54,Female,North,2021-06-22,202.91,4,0,Senior
C0133,52,Female,East,2022-07-09,239.21,3,0,Senior
C0134,61,Female,West,2022-01-23,265.1,4,0,Senior
C0135,57,Female,North,2022-06-10,289.78,5,0,Senior
C0136,39,Female,East,2021-02-15,214.05,1,0,Middle-aged
C0137,44,Male,West,2021-04-18,120.78,3,0,Middle-aged
C0138,52,Female,South,2021-04-08,95.53,5,0,Senior
C0139,18,Male,East,2022-05-17,251.22,3,0,Young
C0140,52,Female,West,2022-09-09,206.48,12,0,Senior
C0141,54,Male,West,2022-07-02,62.26,2,1,Senior
C0142,64,Male,East,2021-01-23,405.78,3,0,Senior
C0143,31,Female,South,2022-09-26,263.35,4,0,Middle-aged
C0144,20,Female,East,2021-09-16,231.87,9,0,Young
C0145,18,Female,West,2021-10-17,272.52,5,0,Young
C0146,22,Male,North,2021-03-18,188.64,3,0,Young
C0147,43,Female,North,2022-06-23,209.03,3,0,Middle-aged
C0148,31,Male,East,2021-05-14,117.64,4,0,Middle-aged
C0149,56,Male,West,2022-02-16,34.28,4,0,Senior
C0150,44,Male,North,2022-09-06,91.16,7,0,Middle-aged
C0151,26,Female,West,2021-03-07,165.01,6,0,Young
C0152,32,Female,East,2022-01-26,238.14,3,0,Middle-aged
C0153,32,Male,North,2021-06-20,24.66,6,0,Middle-aged
C0154,43,Male,West,2021-09-08,176.48,6,0,Middle-aged
C0155,59,Female,North,2021-12-12,96.5,4,0,Senior
C0156,30,Male,East,2021-09-17,214.24,7,0,Middle-aged
C0157,68,Female,West,2022-04-19,325.57,4,0,Senior
C0158,49,Male,North,2021-12-17,74.1,7,0,Middle-aged
C0159,56,Female,East,2022-03-03,198.06,3,0,Senior
C0160,66,Male,North,2022-06-22,78.41,4,0,Senior
C0161,69,Female,North,2022-02-12,208.85,7,0,Senior
C0162,49,Male,South,2022-03-05,307.47,8,0,Middle-aged
C0163,21,Female,South,2022-02-17,108.85,2,0,Young
C0164,47,Female,East,2021-10-04,263.46,9,0,Middle-aged
C0165,54,Male,South,2021-09-04,107.68,6,0,Senior
C0166,40,Male,East,2022-10-19,84.23,4,0,Middle-aged
C0167,56,Female,South,2022-03-20,452.3,7,0,Senior
C0168,62,Male,North,2021-06-28,92.31,2,0,Senior
C0169,32,Female,East,2021-12-30,131.62,2,1,Middle-aged
C0170,60,Male,East,2021-08-30,239.71,3,0,Senior
C0171,46,Female,North,2022-11-13,204.1,5,0,Middle-aged
C0172,53,Female,East,2021-01-06,219.87,7,0,Senior
C0173,30,Female,East,2021-06-14,155.76,4,0,Middle-aged
C0174,49,Female,South,2021-09-24,386.4,4,0,Middle-aged
C0175,24,Female,East,2021-12-23,213.0,5,0,Young
C0176,68,Female,West,2022-09-14,289.46,5,0,Senior
C0177,39,Male,North,2021-03-06,445.35,4,0,Middle-aged
C0178,45,Male,South,2022-08-12,185.35,5,0,Middle-aged
C0179,19,Male,South,2021-02-10,461.94,6,0,Young
C0180,59,Female,West,2022-09-07,205.51,5,0,Senior
C0181,62,Female,North,2021-02-07,248.6,7,0,Senior
C0182,23,Female,North,2021-01-14,179.07,8,0,Young
C0183,45,Female,South,2022-05-24,229.96,4,0,Middle-aged
C0184,45,Male,East,2022-12-29,55.4,5,0,Middle-aged
C0185,61,Male,South,2022-10-17,213.75,6,0,Senior
C0186,61,Female,North,2022-02-25,305.82,9,0,Senior
C0187,37,Male,West,2022-11-01,324.13,6,0,Middle-aged
C0188,47,Male,South,2021-01-04,118.45,0,0,Middle-aged
C0189,28,Female,North,2022-12-13,147.61,4,0,Young
C0190,45,Male,South,2021-12-25,140.03,2,1,Middle-aged
C0191,42,Female,East,2022-06-12,199.62,6,0,Middle-aged
C0192,56,Male,South,2022-08-23,232.15,9,0,Senior
C0193,50,Female,South,2022-06-09,77.0,0,1,Senior
C0194,18,Female,North,2022-01-26,233.56,3,0,Young
C0195,44,Female,North,2021-12-14,268.88,0,0,Middle-aged
C0196,69,Female,North,2022-09-05,87.24,8,0,Senior
C0197,30,Male,South,2021-05-30,174.55,2,0,Middle-aged
C0198,58,Female,East,2022-12-08,86.08,4,0,Senior
C0199,20,Female,West,2022-06-03,71.43,4,0,Young
C0200,56,Female,West,2021-05-26,538.99,5,0,Senior
C0201,23,Male,North,2022-06-22,48.69,4,0,Young
C0202,25,Female,North,2022-01-22,152.59,3,0,Young
C0203,44,Male,South,2022-06-01,203.85,2,1,Middle-aged
C0204,26,Female,West,2022-07-15,182.55,8,0,Young
C0205,54,Male,North,2021-03-05,464.65,4,0,Senior
C0206,50,Male,East,2022-01-05,346.87,5,0,Senior
C0207,68,Female,East,2022-11-12,150.9,5,0,Senior
C0208,59,Male,North,2021-08-23,253.95,7,0,Senior
C0209,61,Female,North,2022-03-10,132.08,5,0,Senior
C0210,41,Female,West,2021-09-27,444.57,8,0,Middle-aged
C0211,32,Female,West,2021-11-28,268.5,5,0,Middle-aged
C0212,49,Male,South,2022-02-05,168.65,4,0,Middle-aged
C0213,49,Male,West,2022-02-05,330.0,6,0,Middle-aged
C0214,41,Female,East,2021-05-28,318.77,5,0,Middle-aged
C0215,58,Female,East,2022-05-15,230.21,1,1,Senior
C0216,69,Male,North,2021-03-06,552.98,7,0,Senior
C0217,66,Female,West,2021-04-12,360.01,4,0,Senior
C0218,66,Female,South,2021-01-02,206.07,4,0,Senior
C0219,69,Female,East,2021-03-27,253.7,4,0,Senior
C0220,29,Male,East,2021-12-12,120.37,6,0,Young
C0221,56,Male,South,2022-03-19,234.36,6,0,Senior
C0222,19,Male,South,2022-08-03,163.45,4,0,Young
C0223,20,Female,East,2021-03-19,190.11,5,0,Young
C0224,66,Female,East,2022-09-14,752.14,4,0,Senior
C0225,54,Female,South,2022-06-29,122.31,4,0,Senior
